SequenceName	ClusterNumber
Bordetella_parapertussis	24
Bordetella_pertussis	24
Ralstonia_solanacearum	24
Neisseria_meningitidis_B	24
Neisseria_meningitidis_A	24
Chromobacterium_violaceum	24
Nitrosomonas_europaea	24
Coxiella_burnetii	-1
Xylella_fastidiosa_700964	25
Xylella_fastidiosa_9a5c	25
Xanthomonas_campestris	25
Xanthomonas_axonopodis	25
Pseudomonas_putida	26
Pseudomonas_syringae	26
Pseudomonas_aeruginosa	26
Escherichia_coli_O6	27
Escherichia_coli_K12	27
Shigella_flexneri_2a_2457T	27
Shigella_flexneri_2a_301	27
Escherichia_coli_EDL933	27
Escherichia_coli_O157_H7	27
Salmonella_enterica	27
Salmonella_typhi	27
Salmonella_typhimurium	27
Yersinia_pestis_KIM	27
Yersinia_pestis_CO92	27
Yersinia_pestis_Medievalis	27
Photorhabdus_luminescens	27
Buchnera_aphidicola_APS	27
Buchnera_aphidicola_Sg	27
Buchnera_aphidicola_Bp	27
Blochmannia_floridanus	27
Wigglesworthia_brevipalpis	27
Haemophilus_influenzae	27
Pasteurella_multocida	27
Haemophilus_ducreyi	27
Vibrio_vulnificus_YJ016	27
Vibrio_vulnificus_CMCP6	27
Vibrio_parahaemolyticus	27
Vibrio_cholerae	27
Photobacterium_profundum	27
Shewanella_oneidensis	27
