SequenceName	ClusterNumber
G001771275	51
G001772255	51
G001829455	-1
G000092565	52
G000217275	52
G000217175	52
G001567725	52
G000347015	52
G000244515	52
G000342725	52
G000350605	52
G000306195	52
G000306255	52
G000244815	52
G001969935	52
G000243815	52
G000013945	52
G000313175	52
G001568365	52
G000347175	52
G000243735	52
G000244755	52
G000306115	52
G000243715	52
G000332515	52
G000304275	52
G000017685	52
G002009735	52
G000243335	52
G000266885	52
G001723995	53
G001730715	53
G000350165	53
G900156285	53
G000165465	53
G900114545	53
G000166415	53
G900103135	53
G000020485	53
G001512435	53
G900114655	53
G900101375	53
G900109985	53
G000144695	53
G000517025	53
G000379025	53
G000328625	53
G001724515	-1
G001771425	54
G001771495	54
G001771575	54
G001771625	54
G001771465	54
G001771345	54
G001772335	54
G001771615	54
G001771545	54
G001771665	54
G001772415	54
G001772455	54
G001771365	54
G001772355	54
G001772375	54
G001772385	54
G001771505	54
G001771395	54
G001771705	54
G001771535	54
G001771655	54
G001771455	54
G001771585	54
G001771415	54
G001772435	54
G001771695	54
G001784485	54
G001007995	55
G001507665	55
G001413985	55
G000701425	55
G000701405	55
G000800395	55
G000020685	55
G000430865	55
G001644565	55
G000478785	55
G000008565	55
G000252445	55
G000745175	55
G000196275	55
G000599865	55
G000381345	55
G000482805	55
G000190555	55
G000519345	55
G000317835	55
G000745915	55
G000092425	55
G000423905	55
G000187005	55
G000744885	55
G000745065	55
G000376265	55
G001880325	55
G000421625	55
G000091545	55
G001399775	55
G000309885	55
G000771745	55
G000620065	55
G000376665	55
G000423425	55
G000430045	55
G000373205	55
G000092125	55
G000195335	55
G000183745	55
G001787865	-1
G001507975	56
G001508185	56
G000711905	56
G002010075	56
G001800675	57
G001800815	57
G001800735	57
G000380705	58
G000494205	58
G000398765	58
G000405885	58
G000402095	58
G000399825	58
G000375685	58
G001775965	59
G001776015	59
G001577155	59
G001774245	59
G001830115	-1
G000299395	60
G000242875	60
G000956175	60
G001674955	60
G001437625	60
G001438895	60
G001510225	60
G001541925	60
G000484975	60
G001510275	60
G000746765	60
G000746745	60
G000722915	60
G000724145	60
G000018465	60
G000299365	60
G000328945	60
G000875775	60
G000241145	60
G000204585	60
G000220175	60
G000200715	60
G001443365	60
G001627015	60
G001627235	60
G001627095	60
G001627075	60
G000812185	60
G001510295	60
G000402075	60
G000399765	60
G000484935	60
G000723185	60
G000955905	60
G000685395	60
G001917995	60
G001918475	60
G001917505	60
G001920395	60
G001917965	60
G001918455	60
G000303155	60
G000698785	60
G000730285	60
G000802205	60
G001870125	60
G001776415	61
G001776425	61
G001776535	61
G001774945	61
G001774705	61
G001774865	61
G000994225	61
G000994395	61
G000994385	61
G001775155	61
G001774895	61
G000404925	61
G000995995	61
G001776455	61
G001776505	61
G001775085	61
G001774995	61
G001776475	61
G001776335	61
G001777465	62
G001776675	62
G001776835	62
G000997105	62
G000997385	62
G000996555	62
G000994545	62
G000994095	62
G000997225	62
G001777495	62
G001776755	62
G001776975	62
G001777345	62
G001779755	62
G000992645	62
G000992925	62
G001776585	62
G001775325	62
G001777025	62
G001777375	62
G001776945	62
G001776735	62
G001777455	62
G001777335	62
G001776635	62
G001779745	62
G000995285	62
G001779735	62
G001777055	62
G001776855	62
G001777015	62
G001776815	62
G001777435	62
G001779835	62
G001777065	62
G001776685	62
G001824325	63
G001003325	63
G001873465	-1
G000993135	64
G001776195	64
G001676785	65
G000092845	65
G000518245	65
G000325665	65
G001829375	65
G000501015	66
G000501595	66
G000501675	66
G000501275	66
G000501875	66
G000501695	66
G000501155	66
G000501235	66
G000501615	66
G000500975	66
G000501215	66
G000501895	66
G000501915	66
G000501735	66
G001922545	66
G000501755	66
G000714705	66
G000691545	66
G000300045	66
G000304735	66
G000181895	66
G000739475	66
G000502095	66
G000008685	66
G000222305	66
G001598195	66
G001660005	66
G000012065	66
G000956315	66
G000568775	66
G000568675	66
G000568795	66
G000012085	66
G000568735	66
G000568755	66
G001936255	66
G000445425	66
G000019685	66
G000019705	66
G000523535	66
G000568715	66
G000500065	66
G000500045	66
G001562425	67
G900142995	67
G000144645	67
G001601575	67
G001896645	67
G001485475	67
G000328765	67
G001512695	67
G002010535	67
G001513245	68
G000174415	68
G000020005	68
G900111575	68
G900111915	69
G900107615	69
G900104055	69
G000284095	69
G000686945	69
G900100835	69
G000702005	69
G900116485	69
G000469545	69
G000155955	69
G000702545	69
G000381005	69
G000160555	69
G000213975	69
G000160695	69
G000426665	69
G000187125	69
G000287655	69
G000208405	69
G900129225	69
G000622005	69
G000621545	69
G000245775	69
G000423385	69
G000381065	69
G000169155	69
G900102435	69
G000445445	69
G000219125	69
G001611555	69
G900114615	69
G000271665	69
G900104455	69
G900110485	69
G000430605	69
G000374545	69
G900107075	69
G900115425	69
G000025305	69
G000437815	69
G000431295	69
G000230275	69
G000436095	69
G000436295	69
G001916865	69
G000188175	69
G900101645	69
G000384135	69
G000455225	69
G000283495	69
G001045675	69
G000239275	69
G000165735	69
G000478965	69
G000177555	69
G000221545	69
G000024945	69
G001553335	69
G000286635	69
G000426745	69
G000431435	69
G000315505	69
G000428745	69
G000221605	69
G000434475	69
G000242435	69
G000435155	69
G000433275	69
G000160055	69
G000194985	69
G900103425	69
G000438335	69
G900155405	69
G002010385	70
G002011435	70
G002010365	70
G002011425	70
G002010355	70
G002011365	70
G002011415	70
G001778455	70
G002011565	71
G002010555	71
G002011575	71
G001767575	71
G001767605	71
G001768645	71
G001767755	71
G001767595	71
G001767735	71
G001805475	71
G001508615	72
G001509375	72
G001602645	72
G000235565	72
G000204415	72
G001603225	72
G001603205	72
G000014945	72
G000979555	73
G000979125	73
G000979575	73
G000978935	73
G000978945	73
G000979515	73
G000979675	73
G000979825	73
G000979815	73
G000970245	73
G000978955	73
G000979095	73
G000979745	73
G000979105	73
G000979855	73
G000979845	73
G000979895	73
G000979185	73
G000979015	73
G000979995	73
G000970165	73
G000979755	73
G000341715	73
G000970205	73
G000970185	73
G000970285	73
G000970085	73
G000970125	73
G000970145	73
G000007345	73
G000970265	73
G000979455	73
G000969965	73
G000970005	73
G001729375	73
G000970025	73
G001027005	73
G000970065	73
G001316305	73
G000195895	73
G000969985	73
G000969905	73
G000969945	73
G000970305	73
G000969885	73
G001512365	73
G000969925	73
G001402855	73
G001304615	73
G001714685	73
G000970045	73
G001577555	73
G001683555	73
G001726015	73
G001888095	73
G001889405	73
G900106905	73
G000025865	73
G900111645	73
G000765475	73
G000970325	73
G000013725	73
G000504205	73
G900100715	73
G900114835	73
G000306725	73
G001577565	73
G000328665	73
G001896725	73
G000217995	73
G000196655	73
G000685155	73
G001317315	73
G001421185	74
G001512965	74
G000308215	74
G000404225	74
G000300255	75
G000437835	75
G001481295	75
G000350305	75
G001560915	75
G001563305	75
G000800805	75
G001421175	75
G001915065	76
G001920575	76
G001918315	76
G001919285	76
G001918745	76
G001919175	76
G001918765	76
G001920655	76
G001768965	76
G001003415	77
G001779145	77
G001822905	78
G001822815	78
G001822865	78
G000993865	78
G000996085	78
G001822895	78
G001822935	78
G001822835	78
G000992445	-1
G000997475	79
G000998935	79
G001000145	79
G001819635	79
G001819495	79
G001872385	79
G001819475	79
G001873495	79
G001819535	79
G001872305	79
G000991925	80
G001776145	80
G001829155	-1
G001829415	81
G001829395	81
G900112165	81
G001603115	82
G000190435	82
G001604325	82
G000236685	82
G001604275	82
G000208385	82
G001940825	82
G001604265	82
G001829425	82
G001829255	82
G001508895	83
G001508735	83
G000806225	83
G000147695	83
G000025645	83
G000763575	83
G000007085	83
G000156275	83
G001507995	83
G000473865	83
G000189775	83
G000145615	83
G000427425	83
G900129075	83
G001513065	83
G001513075	83
G001513505	83
G000526435	83
G000213255	83
G000022325	83
G000166355	83
G000193435	83
G000166695	83
G000955725	83
G000145215	83
G000016545	83
G000404025	83
G000955735	83
G000955745	83
G000472905	84
G000429525	84
G000702485	84
G001399675	84
G001767765	84
G000430585	84
G900107035	84
G000294675	84
G001447355	84
G000024285	84
G000444055	84
G001642725	84
G000092905	84
G000376225	84
G000714935	84
G001543875	84
G001513125	-1
G000347575	-1
G001786505	85
G001784585	85
G001784555	85
G001899385	85
G001464165	85
G001899315	85
G001899425	86
G000437655	86
G001917115	86
G001899365	86
G000433095	86
G000431115	86
G001765415	86
G000437435	86
G000431315	86
G001899395	86
G001899335	86
G000433235	86
G001917235	86
G000980455	86
G000980375	86
G000431555	86
G001917285	86
G001786555	86
G001784615	86
G001784565	86
G001784535	86
G001858525	86
G000011385	87
G000484535	87
G001767615	88
G001766895	88
G001917855	-1
G001304495	-1
G001560765	89
G001560285	89
G001560125	89
G001560275	89
G001560435	89
G001481595	89
G001560065	89
G001560115	89
G001560165	89
G001560245	89
G001560605	89
G001560135	89
G001560525	89
G001560815	89
G001481635	89
G001560795	89
G001560085	89
G001560725	89
G001560595	89
G001559975	89
G001559985	89
G000340315	89
G000338775	89
G000012285	89
G001560675	89
G001560555	89
G001560405	89
G001560515	89
G001560375	89
G001560565	89
G001560635	89
G001560485	89
G001560205	89
G001560835	89
G001560715	89
G001560465	89
G001560355	89
G001560315	89
G001560195	89
G001560755	89
G001560045	89
G001560685	89
G001560035	89
G001559965	89
G001560645	89
G001560305	89
G001559955	89
G001560215	89
G001560455	89
G000011205	89
G001266735	89
G001266715	89
G001266695	89
G001266675	89
G001266655	89
G000747605	89
G000016605	89
G001315825	89
G000204925	89
G000243315	89
G000565255	89
G000961135	89
G000213215	89
G000632495	89
G001316085	89
G001316045	89
G000245195	89
G000245275	89
G000245235	89
G000245175	89
G000245135	89
G000022425	89
G000245255	89
G000245115	89
G000245155	89
G000245215	89
G000022445	89
G000245095	89
G000022405	89
G000189575	89
G000189555	89
G000364745	89
G000022385	89
G000024305	89
G000022465	89
G000022485	89
G000968435	89
G000024745	89
G000968355	89
G000968395	89
G000175555	89
G900079115	89
G000007005	89
G001719125	89
G000389735	89
G000813245	90
G000446015	90
G000015225	90
G000993805	90
G000148385	91
G001316145	91
G001316125	91
G001315985	91
G001316265	91
G001316005	91
G001316285	91
G001316245	91
G000190315	91
G001316025	91
G001516705	91
G001516745	91
G001515905	91
G001748385	91
G001663375	91
G001516725	91
G000018305	91
G001516585	91
G000247545	91
G000016385	91
G000234805	91
G000007225	91
G000019805	91
G000015205	91
G001189275	91
G000015805	91
G001516655	91
G001516665	91
G000193375	91
G000253055	91
G000960885	91
G001399805	92
G001399795	92
G001273385	92
G001593935	92
G001593925	92
G002009985	92
G002011035	92
G000992095	93
G000990055	93
G001782645	93
G001782525	93
G001783805	93
G001784095	93
G001783885	93
G001783975	93
G001782085	93
G001782295	93
G001782475	93
G001781995	93
G001783845	93
G001784045	93
G001782735	93
G000996635	93
G001782265	93
G001782595	93
G001782395	93
G000994635	93
G001782045	93
G001782415	93
G001782035	93
G001782495	93
G001782445	93
G001784115	93
G001782205	93
G001782355	93
G001783775	93
G001782685	93
G001784055	93
G001783905	93
G001782435	93
G001782115	93
G001782605	93
G000993335	93
G001782125	93
G001803445	-1
G001790765	94
G001790905	94
G000992725	94
G000989305	94
G000992285	94
G000992605	94
G001820055	95
G001821835	95
G001821845	95
G001819975	95
G001821805	95
G001819985	95
G001824375	96
G001824315	96
G001825495	96
G001795855	97
G001794385	97
G001794695	97
G001794125	97
G001794575	97
G001794735	97
G001794675	97
G001794055	97
G001795975	97
G001794065	97
G001794435	97
G001795625	97
G001794145	97
G001795615	97
G001794105	97
G001794095	97
G001794375	97
G001795735	97
G001795585	97
G001794555	97
G001795825	97
G001794635	97
G001794285	97
G001794295	97
G001794015	97
G001794215	97
G001795655	97
G001794475	97
G000994085	97
G001794485	97
G001794755	97
G001795875	97
G001794595	97
G001794025	97
G001795695	97
G001795665	97
G001795795	97
G001794515	97
G001795775	97
G001794605	97
G001794195	97
G001795715	97
G000992505	98
G000991445	98
G000992485	98
G000992345	98
G000992135	98
G001774085	98
G001774035	98
G001775835	98
G001773975	98
G001818315	99
G001818735	99
G001818755	99
G001818335	99
G001004025	99
G001003705	99
G000991185	-1
G001776125	100
G001774395	100
G001776175	100
G900156105	101
G000373545	101
G000242595	101
G000758165	101
G000507245	101
G001749745	101
G000143985	101
G000426705	101
G000184345	101
G000147075	101
G000493945	102
G000380785	102
G000405145	102
G000402275	102
G000405125	102
G000992305	103
G000989955	103
G001468855	103
G001468925	103
G000989255	103
G000989975	103
G000421105	104
G001603805	104
G000025725	104
G000218625	104
G000183405	104
G000010985	104
G000487995	104
G000177635	104
G000469585	104
G001742305	-1
G900101835	-1
G001443005	105
G001508835	105
G000585335	106
G000238615	106
G001701045	106
G000712295	106
G000237825	106
G000024905	106
G000165795	106
G000402835	106
G000526375	106
G000233775	106
G001508955	106
G001509155	106
G001509095	106
G001508975	106
G000025885	106
G001896635	106
G000526395	106
G001604445	106
G001604435	106
G000210715	106
G000237805	106
G000161995	106
G000177335	106
G000172975	106
G900129645	106
G000266925	106
G900107215	106
G000160455	106
G001508935	106
G001676585	107
G000175835	107
G001858115	107
G001432185	107
G001858125	107
G001586755	107
G000175855	107
G001586785	107
G000196515	107
G000312705	107
G000521175	107
G000426925	107
G000332135	107
G001858025	107
G000317535	107
G000316575	107
G000332295	107
G000300115	107
G000020025	107
G001904715	107
G000340565	107
G001672205	107
G000204075	107
G000009705	107
G001548375	107
G000316645	107
G001298445	107
G000316625	107
G000934435	107
G000315585	107
G000317245	107
G001275395	107
G000447295	107
G001904645	107
G001548455	107
G000317225	107
G000317205	107
G000517105	107
G000317285	107
G000317265	107
G000332255	107
G000828075	107
G000817735	107
G000315565	107
G000828085	107
G000760695	107
G000346485	107
G000350125	107
G000350105	107
G000613065	107
G000316665	107
G000331305	107
G000317435	107
G000734895	107
G000317555	107
G001904655	107
G000317125	107
G000952155	107
G000332075	107
G001904725	107
G001942495	107
G001767235	107
G001854205	107
G000317515	107
G000155555	107
G000317495	107
G000317145	107
G000307915	107
G000974245	107
G000173555	107
G000176895	107
G000973065	107
G000210375	107
G000175415	107
G001611905	107
G000478195	107
G900009135	107
G000710505	107
G001873365	107
G900010725	107
G000014265	107
G000987385	107
G000180455	107
G000332155	107
G001698425	107
G000317475	107
G000214075	107
G000317105	107
G001276715	107
G000332335	107
G001890975	107
G001746915	107
G001706385	107
G000312205	107
G000599945	107
G000307995	107
G001725075	107
G000330925	107
G001885655	107
G000312245	107
G000332585	107
G001264245	107
G000312185	107
G001704955	107
G000981785	107
G000312285	107
G000312725	107
G000297435	107
G000312265	107
G000010625	107
G001578075	107
G000312165	107
G000787675	107
G000021825	107
G000147335	107
G001050835	107
G000235665	107
G001039635	107
G001039555	107
G000167195	107
G001039615	107
G000231425	107
G000017845	107
G000169335	107
G000025125	107
G000737945	107
G000829235	107
G000021805	107
G000317025	107
G001904635	107
G000270265	107
G000284135	107
G000284455	107
G000340785	107
G000009725	107
G000284215	107
G001318385	107
G000478825	107
G000332235	107
G001548115	107
G000317675	107
G000317655	107
G001747005	107
G000332035	107
G000756305	107
G000332195	107
G000332055	107
G000317575	107
G001693295	107
G000019485	107
G001521855	107
G001693275	107
G000715475	107
G001693255	107
G000485815	107
G000316605	107
G001904615	107
G000252465	107
G000252425	107
G000252485	107
G000314005	107
G001890765	107
G000380225	107
G000317615	107
G000317635	107
G000473895	107
G000332355	107
G001657325	107
G001314905	107
G001870905	107
G001548435	107
G001485215	107
G000353285	107
G001895925	107
G001650195	107
G000309945	107
G001939115	107
G000733415	107
G000775285	107
G000317045	107
G000482245	107
G000316115	107
G000155595	107
G001314865	107
G000763385	107
G000309385	107
G000332095	107
G001913845	107
G001698445	107
G000011345	107
G000505665	107
G000316685	107
G000022045	107
G000018105	107
G000238775	107
G000817325	107
G000012525	107
G000010065	107
G000332315	107
G001402795	107
G000332215	107
G001873375	107
G000317085	107
G000332175	107
G000317065	107
G001870225	107
G000494245	108
G000380725	108
G000397765	108
G001458035	109
G000427095	109
G001457975	109
G001457855	109
G000404425	109
G001898035	109
G000724625	109
G001768085	109
G001302805	109
G001918845	110
G001918235	110
G001919305	110
G001920725	110
G000017945	111
G001481685	111
G001593865	-1
G001273495	112
G001775955	112
G001029675	113
G001774315	113
G001774275	113
G001001955	113
G001001885	113
G001003755	113
G001774295	113
G001776075	113
G001774335	113
G001776115	113
G001872035	113
G000995585	113
G001871835	113
G001776045	113
G000991295	-1
G001790975	114
G001791385	114
G001791155	114
G001791535	114
G001002965	114
G001791425	114
G001873525	114
G001889965	115
G001872435	115
G001818435	115
G001818155	116
G001000795	116
G001818075	116
G001818175	116
G001000815	116
G001818085	116
G001818205	116
G001000955	116
G001000505	116
G000999025	116
G001818105	116
G001818055	116
G001818135	116
G001896565	117
G001603165	117
G001830645	117
G001028585	118
G001028525	118
G001028605	118
G001028545	118
G000212415	118
G001604355	118
G000413055	118
G000468055	118
G900111035	118
G900113965	118
G000421345	118
G000619925	118
G000468115	118
G000464455	118
G000413015	118
G000255555	118
G000195275	118
G001603145	118
G000412995	118
G000413035	118
G000513775	118
G000008605	118
G000755145	118
G000008185	118
G000447675	118
G001604385	118
G001604425	118
G000297095	118
G000214375	118
G000214355	118
G001830155	118
G000219725	118
G001045525	119
G001462255	119
G000474745	119
G001789275	119
G001462315	120
G001603925	120
G900142495	120
G900142545	120
G001603905	120
G001462305	120
G900142475	120
G900129735	120
G000024665	120
G000146505	120
G900142485	120
G900143015	120
G900129715	120
G900142465	120
G900142505	120
G900142455	120
G001603875	120
G001462345	120
G001873075	120
G001462225	120
G001462245	120
G001462235	120
G001302835	121
G001303705	121
G001304185	121
G001304335	121
G001777945	121
G000695095	122
G000010305	122
G000522985	122
G001919145	122
G001920195	122
G001918525	122
G001918595	122
G001802045	122
G001780805	122
G001780825	122
G001780795	122
G001780165	122
G001774505	-1
G001799915	123
G001799565	123
G001799745	123
G001799795	123
G001871115	123
G001800245	123
G001800375	123
G001799775	123
G001799575	123
G000020145	123
G001800015	123
G001800235	124
G001800315	124
G001800475	124
G001800455	124
G001800425	124
G001800205	124
G001800355	124
G001800525	124
G001027545	124
G001800495	124
G001800325	124
G001871125	124
G001799925	124
